"","eventid","eventname","subtype","cuisine","price","openWeek","closeWeek","openSat","closeSat","openSun","closeSun","eventlength","popularity","latitude","address","longitude"
"39",77,"The Larder","breakfast","Cafe",1,"7","17","7","17","7","17",1,2,NA,"Unit 5 Grove Building, 8 Grove Avenue, Claremont, Cape Town",NA
"40",79,"PRIMI Piatti","breakfast","Italian",3,"9","22","9","22","9","22",2,3,NA,"First Level, Victoria Wharf, V & A Waterfront, Cape Town",NA
"41",81,"Mynt Cafe","breakfast","Cafe",3,"8","23","8","23","8","23",2,1,NA,"31 Victoria Road, Camps Bay, Cape Town",NA
"42",83,"Honest Chocolate Cafe","breakfast","Cafe",1,"9","17","9","17","9","17",1,3,NA,"64 A Wale Street, CBD, Cape Town",NA
"43",85,"Warwick Wine Estate","breakfast","South African",3,"9","17","9","17","9","17",2,1,NA,"Warwick Wine Estate, R44, Stellenbosch, Cape Town",NA
"44",87,"Company's Garden","breakfast","Cafe",1,"7","18","7","18","7","18",1,2,NA,"19 Queen Victoria Street, CBD, Cape Town",NA
"45",89,"Greens","breakfast","Cafe",3,"8","17","8","17","8","17",2,1,NA,"Plattekloof Village, Corner Plattekloof Road and Baronetcy Road, Plattekloof, Cape Town",NA
"46",91,"Four & Twenty","breakfast","Cafe",2,"8","17","8","17","8","17",1.5,3,NA,"23 Wolfe Street, Chelsea Village, Wynberg, Cape Town",NA
"47",93,"Honeybun","breakfast","Cafe",1,"7","17","7","17","7","17",1,1,NA,"107 Lower Main Road, Observatory, Cape Town",NA
"48",95,"Haas Collective","breakfast","Cafe",1,"7","17","7","17","7","17",1,2,NA,"19 Buitenkant Street, CBD, Cape Town",NA
"49",97,"tashas","breakfast","Cafe",3,"7.5","21","7.5","21","7.5","21",2,3,NA,"Ground Level, Victoria Wharf, V & A Waterfront, Cape Town",NA
"50",99,"Kleinskys Delicatessen","breakfast","Deli",1,"8","17","8","17","8","17",1,2,NA,"95 Regent Road, Sea Point, Cape Town",NA
"51",101,"NOMAD Bistro Fusion","lunch","International",2,"8","16","8","16","8","16",1.5,1,NA,"33 Waterkant Street, CBD, Cape Town",NA
"52",103,"Jarryds","lunch","Cafe",2,"7",NA,"7",NA,"7",NA,1.5,2,NA,"90 Regent Road, Sea Point, Cape Town",NA
"53",105,"The Village Idiot","lunch","South African",2,"15","2","15","2","15","2",1.5,2,NA,"32 Loop Street, CBD, Cape Town",NA
"54",107,"Bacon on Bree","lunch","Cafe",1,"7","16","7","16","7","16",1,2,NA,"217 Bree Street, CBD, Cape Town",NA
"55",109,"Kloof Street House","lunch","Mediterranean",3,"17","22","17","22","17","22",2,3,NA,"30 Kloof Street, Gardens, Cape Town",NA
"56",111,"The Larder","lunch","Cafe",1,"7","17","7","17","7","17",1,1,NA,"Unit 5 Grove Building, 8 Grove Avenue, Claremont, Cape Town",NA
"57",113,"Clarke's Bar & Dining Room","lunch","European",2,"7","17","7","17","7","17",1.5,3,NA,"133 Bree Street, CBD, Cape Town 8001",NA
"58",115,"Bocca","lunch","Pizza",2,"12","22","12","22","12","22",1.5,2,NA,"Corner Bree Street and Wale Street, CBD, Cape Town",NA
"59",117,"Company's Garden","lunch","Cafe",1,"7","18","7","18","7","18",1,1,NA,"19 Queen Victoria Street, CBD, Cape Town",NA
"60",119,"Jason","lunch","Cafe",1,"7",NA,"7",NA,"7",NA,1,3,NA,"185 Bree Street, CBD, Cape Town",NA
"61",121,"Royale Eatery","lunch","Burger",3,"12","23","12","23","12","23",2,3,NA,"273 Long Street, CBD, Cape Town",NA
"62",123,"The Potluck Club","lunch","European",3,"24",NA,"24",NA,"24",NA,2,3,NA,"The Old Biscuit Mill, 375 Albert Road, Woodstock, Cape Town",NA
"63",125,"Truth Coffee","lunch","Cafe",1,"7.5","18","7.5","18","7.5","18",1,3,NA,"36 Buitenkant Street, CBD, Cape Town",NA
"64",127,"Villa 47","lunch","International",3,"6.5","22","6.5","22","6.5","22",2,1,NA,"47 Bree Street, CBD, Cape Town",NA
"65",129,"Jerry's Burger Bar","lunch","Burger",2,"12","2","12","2","12","2",1.5,3,NA,"5 Park Road, Kloof Street, Gardens, Cape Town",NA
"66",131,"IYO Burgers (Inside & You're Out)","lunch","Burger",3,"17","22","17","22","17","22",2,3,NA,"103 Bree Street, CBD, Cape Town",NA
"67",133,"Hemelhuijs","lunch","Continental",1,"9","16","9","16","9","16",1,1,NA,"71 Waterkant Street, De Waterkant, Cape Town",NA
"68",135,"Eastern Food Bazaar","lunch","Asian",1,"9","22","9","22","9","22",1,3,NA,"96 Long Market Street, CBD, Cape Town",NA
"69",137,"Yours Truly","lunch","Cafe",1,"6","23","6","23","6","23",1,2,NA,"73 Kloof Street, Gardens, Cape Town",NA
"70",139,"Warwick Wine Estate","lunch","South African",3,"9","17","9","17","9","17",2,1,NA,"Warwick Wine Estate, R44, Stellenbosch, Cape Town",NA
"71",141,"Lekke Neh Restaurant","lunch","Burger",3,"9","17","9","17","9","17",2,1,NA,"Weltevreden Wine Estate, Cloetesville Road, Welgevonden, Stellenbosch, Cape Town",NA
"72",143,"South China Dim Sum Bar","lunch","Asian",1,"24","15","24","15","24","15",1,1,NA,"289 Long Street, CBD, Cape Town",NA
"73",145,"Constantia Glen","lunch","European",3,"10","17","10","17","10","17",2,1,NA,"Constantia Glen Wine Farm, Constantia Main Road, Constantia, Cape Town",NA
"74",147,"El Burro","lunch","Mexican",3,"12","23","12","23","12","23",2,3,NA,"81 Main Road, Green Point, Cape Town",NA
"75",149,"Tokara Restaurant","lunch","African",3,"12","15","12","15","12","15",2,1,NA,"Tokara Wine Estate, Helshoogte Road, Stellenbosch, Cape Town",NA
"76",151,"Loco Lounge","lunch","Mediterranean",2,NA,NA,"NULL",NA,"NULL",NA,1.5,2,NA,"Harfield Village, Corner 2nd Avenue and Surrey Road, Claremont, Cape Town",NA
"77",153,"NV 80","lunch","Grill",3,"12","15","12","15","12","15",2,2,NA,"The Point, 76 Regent Road, Sea Point, Cape Town",NA
"78",155,"Starlings Cafe","lunch","Cafe",2,"7","17","7","17","7","17",1.5,3,NA,"94 Belvedere Road, Claremont, Cape Town",NA
"79",157,"The House Of Machines","lunch","Contemporary",2,"7","24","7","24","7","24",1.5,1,NA,"84 Shortmarket Street, CBD, Cape Town",NA
"80",159,"Honest Chocolate Cafe","lunch","Cafe",1,"9","17","9","17","9","17",1,2,NA,"64 A Wale Street, CBD, Cape Town",NA
"81",161,"NOMAD Bistro Fusion","lunch","International",2,"8","16","8","16","8","16",1.5,1,NA,"33 Waterkant Street, CBD, Cape Town",NA
"82",163,"Jarryds","lunch","Cafe",2,"7",NA,"7",NA,"7",NA,1.5,2,NA,"90 Regent Road, Sea Point, Cape Town",NA
"83",165,"The Village Idiot","lunch","South African",2,"15","2","15","2","15","2",1.5,2,NA,"32 Loop Street, CBD, Cape Town",NA
"84",167,"Bacon on Bree","lunch","Cafe",1,"7","16","7","16","7","16",1,2,NA,"217 Bree Street, CBD, Cape Town",NA
"85",169,"Kloof Street House","lunch","Mediterranean",3,"17","22","17","22","17","22",2,3,NA,"30 Kloof Street, Gardens, Cape Town",NA
"86",171,"The Larder","lunch","Cafe",1,"7","17","7","17","7","17",1,1,NA,"Unit 5 Grove Building, 8 Grove Avenue, Claremont, Cape Town",NA
"87",173,"Clarke's Bar & Dining Room","lunch","European",2,"7","17","7","17","7","17",1.5,3,NA,"133 Bree Street, CBD, Cape Town 8001",NA
"88",175,"Bocca","lunch","Pizza",2,"12","22","12","22","12","22",1.5,2,NA,"Corner Bree Street and Wale Street, CBD, Cape Town",NA
"89",177,"Company's Garden","lunch","Cafe",1,"7","18","7","18","7","18",1,1,NA,"19 Queen Victoria Street, CBD, Cape Town",NA
"90",179,"Jason","lunch","Cafe",1,"7",NA,"7",NA,"7",NA,1,3,NA,"185 Bree Street, CBD, Cape Town",NA
"91",181,"Royale Eatery","lunch","Burger",3,"12","23","12","23","12","23",2,3,NA,"273 Long Street, CBD, Cape Town",NA
"92",183,"The Potluck Club","lunch","European",3,"24",NA,"24",NA,"24",NA,2,3,NA,"The Old Biscuit Mill, 375 Albert Road, Woodstock, Cape Town",NA
"93",185,"Truth Coffee","lunch","Cafe",1,"7.5","18","7.5","18","7.5","18",1,3,NA,"36 Buitenkant Street, CBD, Cape Town",NA
"94",187,"Villa 47","lunch","International",3,"6.5","22","6.5","22","6.5","22",2,1,NA,"47 Bree Street, CBD, Cape Town",NA
"95",189,"Jerry's Burger Bar","lunch","Burger",2,"12","2","12","2","12","2",1.5,3,NA,"5 Park Road, Kloof Street, Gardens, Cape Town",NA
"96",191,"IYO Burgers (Inside & You're Out)","lunch","Burger",3,"17","22","17","22","17","22",2,3,NA,"103 Bree Street, CBD, Cape Town",NA
"97",193,"Hemelhuijs","lunch","Continental",1,"9","16","9","16","9","16",1,1,NA,"71 Waterkant Street, De Waterkant, Cape Town",NA
"98",195,"Eastern Food Bazaar","lunch","Asian",1,"9","22","9","22","9","22",1,3,NA,"96 Long Market Street, CBD, Cape Town",NA
"99",197,"Yours Truly","lunch","Cafe",1,"6","23","6","23","6","23",1,2,NA,"73 Kloof Street, Gardens, Cape Town",NA
"100",199,"Warwick Wine Estate","lunch","South African",3,"9","17","9","17","9","17",2,1,NA,"Warwick Wine Estate, R44, Stellenbosch, Cape Town",NA
"101",201,"The Village Idiot","dinner","South African",1,"15","2","15","2","15","2",1,2,NA,"32 Loop Street, CBD, Cape Town",NA
"102",203,"Kloof Street House","dinner","Mediterranean",2,"17","22","17","22","17","22",1.5,3,NA,"30 Kloof Street, Gardens, Cape Town",NA
"103",205,"Fork","dinner","Mediterranean",1,"12","23","12","23","12","23",1,1,NA,"84 Long Street, CBD, Cape Town",NA
"104",207,"Jerry's Burger Bar","dinner","Burger",1,"12","2","12","2","12","2",1,2,NA,"5 Park Road, Kloof Street, Gardens, Cape Town",NA
"105",209,"The Potluck Club","dinner","European",3,"24",NA,"24",NA,"24",NA,2,3,NA,"The Old Biscuit Mill, 375 Albert Road, Woodstock, Cape Town",NA
"106",211,"NV 80","dinner","Grill",3,"12","15","12","15","12","15",2,1,NA,"The Point, 76 Regent Road, Sea Point, Cape Town",NA
"107",213,"Villa 47","dinner","International",2,"6.5","22","6.5","22","6.5","22",1.5,1,NA,"47 Bree Street, CBD, Cape Town",NA
"108",215,"Bocca","dinner","Pizza",2,"12","22","12","22","12","22",1.5,1,NA,"Corner Bree Street and Wale Street, CBD, Cape Town",NA
"109",217,"Royale Eatery","dinner","Burger",2,"12","23","12","23","12","23",1.5,3,NA,"273 Long Street, CBD, Cape Town",NA
"110",219,"Bombay Bicycle Club","dinner","Mediterranean",3,"16","24","16","24","16","24",2,2,NA,"158 Kloof Street, Gardens, Cape Town",NA
"111",221,"Lefty's","dinner","Grill",1,"16","23","16","23","16","23",1,2,NA,"105 Harrington Street, CBD, Cape Town",NA
"112",223,"Clarke's Bar & Dining Room","dinner","European",1,"7","17","7","17","7","17",1,2,NA,"133 Bree Street, CBD, Cape Town 8001",NA
"113",225,"La Boheme","dinner","South African",2,"12","22","12","22","12","22",1.5,3,NA,"341 Main Road, Sea Point, Cape Town",NA
"114",227,"The Dog's Bollocks at YARD","dinner","Burger",1,"17","22","17","22","17","22",1,3,NA,"6 Roodehek Street, Gardens, Cape Town",NA
"115",229,"The Test Kitchen","dinner","Continental",3,"24","14","24","14","24","14",2,2,NA,"The Old Biscuit Mill, 375 Albert Road, Woodstock, Cape Town",NA
"116",231,"Eastern Food Bazaar","dinner","Asian",1,"9","22","9","22","9","22",1,3,NA,"96 Long Market Street, CBD, Cape Town",NA
"117",233,"Charango Grill and Bar","dinner","Latin American",3,"6","23","6","23","6","23",2,1,NA,"114 Bree Street, CBD, Cape Town",NA
"118",235,"El Burro","dinner","Mexican",2,"12","23","12","23","12","23",1.5,3,NA,"81 Main Road, Green Point, Cape Town",NA
"119",237,"Mondiall","dinner","Seafood",3,"9","11","9","11","9","11",2,2,NA,"Alfred Mall, V & A Waterfront, Cape Town",NA
"120",239,"Willoughby & Co.","dinner","Seafood",3,"12","22","12","22","12","22",2,3,NA,"Ground Level, Victoria Wharf, V & A Waterfront, Cape Town",NA
"121",241,"La Parada","dinner","Spanish",2,"12","2","12","2","12","2",1.5,2,NA,"107 Bree Street, CBD, Cape Town",NA
"122",243,"Tiger's Milk Restaurant & Bar","dinner","Steakhouse",2,"16","2","16","2","16","2",1.5,1,NA,"44 Long Street, CBD, Cape Town",NA
"123",245,"Sotano","dinner","European",2,"7","23","7","23","7","23",1.5,1,NA,"121 Beach Road, Mouille Point, Green Point, Cape Town 8005",NA
"124",247,"Il Leone","dinner","Italian",2,"12","15","12","15","12","15",1.5,1,NA,"Corner Cobern Street and Prestwich Street, Green Point, Cape Town",NA
"125",249,"The Black Sheep Restaurant","dinner","European",3,"18","22","18","22","18","22",2,1,NA,"104 Kloof Street, Gardens, Cape Town",NA
"126",251,"South China Dim Sum Bar","dinner","Asian",1,"24","15","24","15","24","15",1,1,NA,"289 Long Street, CBD, Cape Town",NA
"127",253,"Ocean Basket","dinner","Seafood",3,"11","22","11","22","11","22",2,1,NA,"First Level, Victoria Wharf, V & A Waterfront, Cape Town",NA
"128",255,"Pancho's","dinner","Mexican",1,NA,"12",NA,"12",NA,"12",1,3,NA,"127 Lower Main Road, Observatory, Cape Town",NA
"129",257,"Homespun","dinner","South African",3,"18","23","18","23","18","23",2,1,NA,"Porterfield Road, Table View, Cape Town",NA
"130",259,"Gibson's Gourmet Burgers & Ribs","dinner","Burger",1,"11","22","11","22","11","22",1,3,NA,"Shop 157, Lower Level, Victoria Wharf, V & A Waterfront, Cape Town",NA
"131",261,"The Village Idiot","dinner","South African",1,"15","2","15","2","15","2",1,2,NA,"32 Loop Street, CBD, Cape Town",NA
"132",263,"Kloof Street House","dinner","Mediterranean",2,"17","22","17","22","17","22",1.5,3,NA,"30 Kloof Street, Gardens, Cape Town",NA
"133",265,"Fork","dinner","Mediterranean",1,"12","23","12","23","12","23",1,1,NA,"84 Long Street, CBD, Cape Town",NA
"134",267,"Jerry's Burger Bar","dinner","Burger",1,"12","2","12","2","12","2",1,2,NA,"5 Park Road, Kloof Street, Gardens, Cape Town",NA
"135",269,"The Potluck Club","dinner","European",3,"24",NA,"24",NA,"24",NA,2,3,NA,"The Old Biscuit Mill, 375 Albert Road, Woodstock, Cape Town",NA
"136",271,"NV 80","dinner","Grill",3,"12","15","12","15","12","15",2,1,NA,"The Point, 76 Regent Road, Sea Point, Cape Town",NA
"137",273,"Villa 47","dinner","International",2,"6.5","22","6.5","22","6.5","22",1.5,1,NA,"47 Bree Street, CBD, Cape Town",NA
"138",275,"Bocca","dinner","Pizza",2,"12","22","12","22","12","22",1.5,1,NA,"Corner Bree Street and Wale Street, CBD, Cape Town",NA
"139",277,"Royale Eatery","dinner","Burger",2,"12","23","12","23","12","23",1.5,3,NA,"273 Long Street, CBD, Cape Town",NA
"140",279,"Bombay Bicycle Club","dinner","Mediterranean",3,"16","24","16","24","16","24",2,2,NA,"158 Kloof Street, Gardens, Cape Town",NA
"141",281,"Lefty's","dinner","Grill",1,"16","23","16","23","16","23",1,2,NA,"105 Harrington Street, CBD, Cape Town",NA
"142",283,"Clarke's Bar & Dining Room","dinner","European",1,"7","17","7","17","7","17",1,2,NA,"133 Bree Street, CBD, Cape Town 8001",NA
"143",285,"La Boheme","dinner","South African",2,"12","22","12","22","12","22",1.5,3,NA,"341 Main Road, Sea Point, Cape Town",NA
"144",287,"The Dog's Bollocks at YARD","dinner","Burger",1,"17","22","17","22","17","22",1,3,NA,"6 Roodehek Street, Gardens, Cape Town",NA
"145",289,"The Test Kitchen","dinner","Continental",3,"24","14","24","14","24","14",2,2,NA,"The Old Biscuit Mill, 375 Albert Road, Woodstock, Cape Town",NA
"146",291,"Eastern Food Bazaar","dinner","Asian",1,"9","22","9","22","9","22",1,3,NA,"96 Long Market Street, CBD, Cape Town",NA
"147",293,"Charango Grill and Bar","dinner","Latin American",3,"6","23","6","23","6","23",2,1,NA,"114 Bree Street, CBD, Cape Town",NA
"148",295,"El Burro","dinner","Mexican",2,"12","23","12","23","12","23",1.5,3,NA,"81 Main Road, Green Point, Cape Town",NA
"149",297,"Mondiall","dinner","Seafood",3,"9","11","9","11","9","11",2,2,NA,"Alfred Mall, V & A Waterfront, Cape Town",NA
"150",299,"Willoughby & Co.","dinner","Seafood",3,"12","22","12","22","12","22",2,3,NA,"Ground Level, Victoria Wharf, V & A Waterfront, Cape Town",NA
